fecha_analisis,fixture_id,partido,competicion,mercado,lado,odds,modelo_prob,implied_prob,edge,ev_pct,metodo,resultado
2026-04-10 22:52,1391128,Sevilla vs Atletico Madrid,La Liga,Corners Atletico Madrid O/U 4.5,Under/No,1.83,0.6177,0.5000,0.1177,0.1303,v3,L
2026-04-10 22:52,1391128,Sevilla vs Atletico Madrid,La Liga,Goles tot. O/U 2.5,Under/No,1.73,0.6521,0.5480,0.1041,0.1282,v3,L
2026-04-10 22:52,1391128,Sevilla vs Atletico Madrid,La Liga,BTTS,Under/No,1.95,0.5846,0.4800,0.1046,0.1399,v3,L
2026-04-10 22:52,1391128,Sevilla vs Atletico Madrid,La Liga,Goles Sevilla O/U 1.5,Under/No,1.50,0.7704,0.6250,0.1454,0.1555,v3,L
2026-04-10 22:52,1391128,Sevilla vs Atletico Madrid,La Liga,Goles tot. O/U 1.5,Under/No,3.20,0.3809,0.2980,0.0829,0.2190,v3,L
2026-04-10 22:52,1391128,Sevilla vs Atletico Madrid,La Liga,Goles Sevilla O/U 0.5,Under/No,3.40,0.4036,0.2770,0.1266,0.3723,v3,L
2026-04-10 22:52,1391128,Sevilla vs Atletico Madrid,La Liga,Goles tot. O/U 3.5,Under/No,1.25,0.8392,0.7620,0.0772,0.0490,v3,W
2026-04-10 22:52,1391128,Sevilla vs Atletico Madrid,La Liga,Corners Sevilla O/U 4.5,Under/No,1.83,0.7014,0.5000,0.2014,0.2836,v3,L
2026-04-10 22:52,1391128,Sevilla vs Atletico Madrid,La Liga,Goles Sevilla O/U 2.5,Under/No,1.12,0.9365,0.8430,0.0935,0.0489,v3,W
2026-04-10 22:52,1391128,Sevilla vs Atletico Madrid,La Liga,Goles tot. O/U 4.5,Under/No,1.08,0.9371,0.8810,0.0561,0.0121,v3,W
2026-04-10 22:52,1391128,Sevilla vs Atletico Madrid,La Liga,Arco tot. O/U 8.5,Over/Si,2.00,0.5428,0.4640,0.0788,0.0856,v3,L
2026-04-10 22:52,1391128,Sevilla vs Atletico Madrid,La Liga,Goles Atletico Madrid O/U 1.5,Under/No,1.36,0.6691,0.6880,-0.0189,-0.0901,v3,W
2026-04-10 22:52,1391128,Sevilla vs Atletico Madrid,La Liga,Goles Atletico Madrid O/U 0.5,Under/No,2.75,0.3041,0.3370,-0.0329,-0.1638,v3,L
2026-04-10 22:52,1391128,Sevilla vs Atletico Madrid,La Liga,Goles Atletico Madrid O/U 2.5,Under/No,1.08,0.8797,0.8810,-0.0013,-0.0499,v3,W
2026-04-10 22:52,1391128,Sevilla vs Atletico Madrid,La Liga,Goles tot. O/U 0.5,Under/No,8.00,0.1231,0.1190,0.0041,-0.0150,v3,L
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Tiros Aldosivi O/U 8.5,Over/Si,1.44,0.6934,0.6450,0.0484,-0.0015,v3,L
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Tiros Aldosivi O/U 9.5,Over/Si,1.72,0.5890,0.5380,0.0510,0.0131,v3,L
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Tiros Aldosivi O/U 7.5,Over/Si,1.28,0.7816,0.7320,0.0496,0.0005,v3,L
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Goles Belgrano Cordoba O/U 1.5,Under/No,1.73,0.6090,0.5360,0.0730,0.0536,v3,W
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Goles tot. O/U 1.5,Under/No,2.50,0.4612,0.3750,0.0862,0.1531,v3,W
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Goles tot. O/U 2.5,Under/No,1.50,0.7273,0.6250,0.1023,0.0909,v3,W
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Arco tot. O/U 8.5,Under/No,1.61,0.7698,0.6690,0.1008,0.2394,v3,W
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Arco tot. O/U 6.5,Under/No,2.10,0.4951,0.4410,0.0541,0.0397,v3,W
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Arco tot. O/U 7.5,Under/No,1.61,0.6430,0.5770,0.0660,0.0353,v3,W
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Tiros Aldosivi O/U 10.5,Over/Si,2.10,0.4772,0.4410,0.0362,0.0021,v3,L
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Arco tot. O/U 5.5,Under/No,3.25,0.3387,0.2900,0.0487,0.1008,v3,W
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Goles Belgrano Cordoba O/U 0.5,Under/No,4.00,0.2583,0.2340,0.0243,0.0330,v3,L
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Arco Belgrano Cordoba O/U 4.5,Under/No,1.66,0.6310,0.5590,0.0720,0.0474,v3,W
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Arco tot. O/U 9.5,Under/No,1.33,0.8617,0.7720,0.0897,0.1461,v3,W
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,BTTS,Under/No,1.50,0.7303,0.6250,0.1053,0.0954,v3,W
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Goles Belgrano Cordoba O/U 2.5,Under/No,1.20,0.8433,0.7830,0.0603,0.0119,v3,W
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Arco Belgrano Cordoba O/U 5.5,Under/No,1.33,0.7875,0.7100,0.0775,0.0474,v3,W
2026-04-10 14:19,1492014,Belgrano Cordoba vs Aldosivi,Liga Profesional,Goles tot. O/U 3.5,Under/No,1.17,0.8891,0.8100,0.0791,0.0402,v3,W
